Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-FREAD001,19573.6,831.5,13110.5,51392.4,7061.9,3098.2,4075.8,1974.1,1385.4,1333.2,19375.2,2731.7,1069.6,1301.6,193.9,3222.3,20.8,744.5,16852.3,633.3,12801.0,49096.0,6715.6,2872.0,4295.5,1968.8,3136.7,1413.3,323.1,3331.1,25.5,625.2,0.0,7681.0,0.0,0.0,0.0,0.0,0.0,127.1,1170.9,521.9,443.8,442.2,933.0,1054778.0,1011945.0,1011362.43931,181056.711084,185557.228711,366613.939795,235212.909825,231912.589688,467125.499513,49271.0,519933.939795,926398.439308,887423.439308,883493.0,1461363.0,0.738243,1.022813,45.0,50.0,95.0,1428768.18344
sub-FREAD002,43754.1,2583.4,11482.4,58732.8,6681.6,3424.6,4062.3,1954.8,5418.6,4169.9,19527.6,4078.9,1372.0,1230.5,221.7,4214.2,58.3,827.6,38373.9,2985.6,17478.1,59183.3,7134.1,3292.6,3746.8,1876.4,3978.7,1692.0,270.1,4016.6,20.4,804.8,0.0,2659.3,0.0,0.0,0.0,0.0,0.0,50.5,1118.0,626.2,416.0,435.2,1168.6,1253037.0,1153139.0,1151744.14787,210649.905767,206013.98823,416663.893998,266976.353246,264206.90063,531183.253876,54057.0,593431.893998,1098403.14787,1009190.14787,1003280.0,1686743.0,0.75951,1.022394,50.0,36.0,86.0,1649797.50193
sub-FREAD003,20467.0,1148.0,16871.3,54190.8,6669.4,3832.9,4320.4,2447.6,2102.0,1968.6,19979.5,3401.9,1195.9,1212.3,435.6,4467.2,61.1,873.7,17036.0,739.9,16247.7,57045.5,6879.1,3673.9,4450.6,2348.7,3535.1,1546.2,618.1,4087.7,24.3,705.1,0.0,2239.8,0.0,0.0,0.0,0.0,0.0,248.2,870.2,540.9,442.4,422.0,812.7,1124055.0,1078121.0,1077214.0943,189504.174264,204517.396107,394021.570371,239358.854786,239596.669145,478955.523932,55857.0,566518.570371,976639.094302,935847.094302,929624.0,1571045.0,0.737196,1.030348,29.0,28.0,57.0,1524771.11509
sub-FREAD004,22428.0,891.0,13296.0,53102.4,5719.8,2757.9,3803.8,1824.1,1904.5,2031.9,19174.2,3132.1,1299.9,1301.3,226.0,3504.5,55.1,787.4,16978.6,875.3,13390.5,54404.7,5645.9,2703.6,3759.2,1658.4,3483.1,1412.4,298.2,3421.2,34.3,742.0,0.0,2371.7,0.0,0.0,0.0,0.0,0.0,152.6,949.4,447.8,420.2,401.6,870.2,1051809.0,1004285.0,1003197.53048,187160.577154,198020.217701,385180.794855,219051.662812,215943.072817,434994.735628,46701.0,543045.794855,913700.530484,871308.530484,867862.0,1475502.0,0.746276,1.046893,46.0,58.0,104.0,1409410.00327
sub-FREAD005,11146.2,882.5,15482.3,53683.9,6092.3,3796.5,4290.5,1982.6,1978.3,2687.6,22405.8,2640.8,781.3,994.0,218.9,4107.9,38.7,748.6,8272.1,335.2,14054.9,55652.5,6471.8,3852.6,4616.0,1898.1,3204.4,955.4,320.0,3887.9,46.5,547.0,0.0,12660.9,0.0,0.0,0.0,0.0,0.0,224.2,933.1,512.0,557.1,467.1,1031.9,1097137.0,1070325.0,1069649.83018,184307.735024,199396.898268,383704.633291,246914.393461,247553.803429,494468.196891,51301.0,546707.633291,954159.830182,932810.830182,929999.0,1674923.0,0.735033,1.122124,40.0,35.0,75.0,1492636.47328
sub-FREAD006,23335.0,653.8,14926.5,52111.6,6048.1,3733.1,3906.3,1627.1,2084.6,2250.6,17180.0,3510.8,1271.0,1599.8,241.2,3180.7,21.1,990.6,21057.6,850.5,11581.6,54251.5,5817.9,3210.0,3771.8,1477.7,3127.4,1015.3,297.5,2950.2,7.9,862.5,0.0,4919.6,0.0,0.0,0.0,0.0,0.0,194.4,883.2,494.8,477.2,418.8,842.2,990473.0,936918.0,936751.116408,168282.497537,167021.945752,335304.443288,208573.015902,209992.657218,418565.67312,47340.0,493372.443288,854059.116408,806410.116408,801188.0,1491316.0,0.682025,1.026897,42.0,43.0,85.0,1452254.12069
sub-FREAD007,26541.5,1325.0,14165.1,53094.7,6310.4,3484.3,4436.1,2032.7,1757.8,1818.3,18835.4,3100.3,957.6,1407.4,144.9,3601.9,25.2,1134.6,24822.8,1245.7,14024.9,54151.4,6668.3,3079.7,4471.6,2019.7,3412.0,1319.1,259.6,3287.8,38.5,1065.2,0.0,6238.5,0.0,0.0,0.0,0.0,0.0,228.0,1159.2,448.1,490.7,449.0,1215.1,1068631.0,1007572.0,1006864.49504,173188.743059,174271.171198,347459.914257,236120.33203,232576.248755,468696.580785,50954.0,511860.914257,930809.495042,874707.495042,867604.0,1459507.0,0.745133,1.017683,77.0,56.0,133.0,1434147.16647
sub-FREAD008,27923.3,2045.8,14919.3,52259.8,6562.8,3427.9,5301.3,2549.4,2634.7,1893.6,22006.0,2875.9,1016.7,1140.3,281.4,4458.2,50.5,1103.6,32171.4,1082.1,13060.7,55513.4,6932.4,3454.0,5076.5,2404.2,2865.4,1097.1,359.2,3968.1,31.0,1042.6,0.0,6464.9,0.0,0.0,0.0,0.0,0.0,283.3,1065.0,468.9,555.9,503.9,1098.3,1272330.0,1201196.0,1200138.48161,212235.593055,211508.33404,423743.927095,291010.143359,291411.411156,582421.554516,54923.0,591637.927095,1133346.48161,1067789.48161,1061924.0,1805304.0,0.713904,1.012955,39.0,31.0,70.0,1782215.20601
sub-FREAD009,17261.0,1291.0,13513.4,39613.1,4998.1,2758.8,4077.6,1918.3,1663.2,1628.3,16189.3,2415.9,908.5,760.9,146.4,3441.8,12.1,768.1,14606.0,1082.7,11867.8,38529.1,5178.9,2644.7,3609.2,2006.6,2727.0,1160.8,247.4,3432.4,0.0,859.7,0.0,3392.0,0.0,0.0,0.0,0.0,0.0,110.0,910.1,470.8,475.9,429.4,883.1,843735.0,803901.0,803647.023275,136160.944865,146166.017633,282326.962498,186895.83038,185855.230397,372751.060777,43701.0,407358.962498,738191.023275,702270.023275,698930.0,1147720.0,0.75315,1.024499,30.0,36.0,66.0,1120274.40495
sub-FREAD010,30435.9,1922.7,14220.0,55995.9,6110.3,3176.5,3497.9,1782.7,2818.6,2052.5,18207.7,2324.3,898.9,1803.9,170.1,3603.4,37.3,1405.3,21966.6,1943.9,13314.1,51010.6,5856.9,3296.3,3349.1,1571.6,2623.8,946.1,280.7,3468.8,23.7,1237.4,0.0,11472.5,0.0,0.0,0.0,0.0,0.0,277.6,853.2,436.1,444.1,395.6,796.4,1178508.0,1112704.0,1115523.78171,159667.655154,164475.443445,324143.098599,294815.210691,314246.47242,609061.683112,45144.0,480796.098599,1043645.78171,984465.781711,975292.0,1433751.0,0.814017,0.990318,18.0,20.0,38.0,1447767.92126
